iter	Passed	Remaining
1038	182368	223265
1039	182569	223120
1040	182832	223052
1041	183140	223038
1042	183407	222972
1043	183587	222802
1044	183729	222584
1045	183867	222363
1046	184027	222169
1047	184203	221993
1048	184343	221774
1049	184523	221603
1050	184680	221406
1051	184834	221204
1052	184994	221009
1053	185196	220865
1054	185360	220675
1055	185540	220505
1056	185749	220369
1057	185965	220240
1058	186127	220048
1059	186306	219876
1060	186477	219694
1061	186654	219521
1062	186811	219323
1063	186992	219153
1064	187187	219000
1065	187428	218900
1066	187602	218722
1067	187726	218486
1068	187890	218296
1069	188038	218089
1070	188193	217889
1071	188462	217821
1072	188751	217777
1073	189004	217689
1074	189236	217577
1075	189459	217455
1076	189709	217364
1077	189856	217154
1078	190009	216952
1079	190178	216768
1080	190311	216542
1081	190420	216290
1082	190555	216068
1083	190664	215816
1084	190821	215619
1085	190974	215417
1086	191105	215191
1087	191265	214998
1088	191403	214779
1089	191525	214543
1090	191711	214379
1091	191823	214132
1092	191972	213927
1093	192139	213741
1094	192289	213537
1095	192476	213374
1096	192618	213162
1097	192743	212931
1098	192907	212742
1099	193119	212606
1100	193378	212522
1101	193596	212393
1102	193778	212224
1103	193952	212047
1104	194108	211850
1105	194252	211640
1106	194372	211404
1107	194502	211179
1108	194636	210958
1109	194771	210738
1110	194919	210534
1111	195069	210331
1112	195234	210144
1113	195396	209955
1114	195580	209788
1115	195737	209593
1116	195866	209368
1117	196018	209168
1118	196161	208958
1119	196296	208740
1120	196434	208525
1121	196611	208352
1122	196763	208152
1123	196896	207932
1124	197047	207731
1125	197225	207559
1126	197342	207323
1127	197488	207117
1128	197646	206925
1129	197785	206712
1130	197946	206522
1131	198117	206342
1132	198292	206168
1133	198484	206010
1134	198653	205829
1135	198827	205653
1136	198960	205435
1137	199100	205224
1138	199262	205035
1139	199437	204860
1140	199615	204688
1141	199777	204500
1142	199929	204301
1143	200065	204087
1144	200203	203875
1145	200361	203683
1146	200550	203522
1147	200804	203428
1148	200998	203272
1149	201161	203085
1150	201322	202897
1151	201443	202667
1152	201593	202467
1153	201757	202281
1154	201937	202111
1155	202049	201874
1156	202282	201758
1157	202465	201591
1158	202659	201435
1159	202862	201288
1160	203037	201113
1161	203252	200978
1162	203472	200848
1163	203676	200701
1164	203817	200493
1165	203957	200284
1166	204074	200052
1167	204178	199808
1168	204354	199635
1169	204494	199425
1170	204640	199223
1171	204802	199036
1172	204938	198823
1173	205040	198578
1174	205175	198365
1175	205301	198144
1176	205470	197964
1177	205641	197786
1178	205840	197634
1179	205990	197436
1180	206139	197237
1181	206287	197037
1182	206469	196870
1183	206605	196659
1184	206764	196469
1185	206918	196276
1186	207092	196101
1187	207240	195901
1188	207389	195702
1189	207519	195486
1190	207656	195277
1191	207778	195053
1192	207926	194854
1193	208063	194645
1194	208222	194456
1195	208424	194308
1196	208590	194126
1197	208740	193930
1198	208912	193754
1199	209105	193596
1200	209215	193362
1201	209374	193174
1202	209497	192953
1203	209629	192740
1204	209774	192539
1205	209946	192364
1206	210187	192251
1207	210465	192171
1208	210707	192059
1209	210951	191948
1210	211153	191799
1211	211374	191667
1212	211554	191497
1213	211829	191413
1214	212054	191285
1215	212296	191171
1216	212537	191056
1217	212767	190932
1218	213012	190819
1219	213227	190681
1220	213437	190537
1221	213648	190395
1222	214046	190418
1223	214378	190383
1224	214648	190292
1225	214853	190143
1226	215038	189976
1227	215220	189807
1228	215340	189583
1229	215469	189368
1230	215612	189164
1231	215744	188951
1232	215874	188737
1233	215993	188513
1234	216158	188329
1235	216295	188121
1236	216461	187937
1237	216613	187742
1238	216753	187538
1239	216876	187318
1240	217033	187127
1241	217232	186974
1242	217351	186751
1243	217467	186525
1244	217633	186343
1245	217783	186146
1246	217889	185913
1247	218010	185693
1248	218142	185481
1249	218240	185242
1250	218413	185066
1251	218533	184845
1252	218651	184623
1253	218789	184418
1254	218946	184229
1255	219085	184025
1256	219220	183817
1257	219320	183580
1258	219473	183388
1259	219631	183200
1260	219781	183006
1261	220013	182879
1262	220204	182718
1263	220551	182687
1264	220778	182556
1265	220902	182340
1266	221029	182126
1267	221135	181895
1268	221286	181702
1269	221424	181498
1270	221551	181284
1271	221682	181075
1272	221801	180855
1273	221960	180669
1274	222070	180442
1275	222231	180258
1276	222441	180113
1277	222661	179976
1278	222865	179825
1279	223076	179680
1280	223291	179539
1281	223467	179366
1282	223684	179226
1283	223910	179093
1284	224071	178908
1285	224308	178784
1286	224559	178670
1287	224797	178546
1288	225030	178418
1289	225236	178268
1290	225468	178139
1291	225668	177984
1292	225832	177802
1293	226034	177648
1294	226255	177510
1295	226454	177354
1296	226640	177188
1297	226852	177042
1298	226966	176820
1299	227105	176618
1300	227282	176445
1301	227420	176242
1302	227557	176038
1303	227704	175842
1304	227867	175659
1305	228077	175511
1306	228328	175395
1307	228471	175196
1308	228589	174978
1309	228763	174803
1310	228878	174583
1311	229009	174375
1312	229143	174169
1313	229277	173964
1314	229408	173757
1315	229511	173528
1316	229670	173342
1317	229807	173140
1318	229965	172953
1319	230135	172775
1320	230283	172582
1321	230435	172391
1322	230574	172189
1323	230696	171976
1324	230800	171750
1325	230956	171562
1326	231089	171357
1327	231250	171174
1328	231389	170973
1329	231525	170771
1330	231677	170581
1331	231815	170381
1332	231983	170202
1333	232130	170008
1334	232244	169790
1335	232364	169577
1336	232476	169358
1337	232618	169161
1338	232763	168966
1339	232911	168774
1340	233080	168596
1341	233262	168429
1342	233436	168255
1343	233614	168084
1344	233846	167952
1345	234086	167825
1346	234329	167701
1347	234561	167568
1348	234690	167362
1349	234836	167168
1350	234991	166981
1351	235151	166797
1352	235285	166595
1353	235445	166411
1354	235600	166224
1355	235745	166030
1356	235875	165825
1357	236019	165631
1358	236153	165429
1359	236268	165214
1360	236396	165008
1361	236546	164818
1362	236654	164599
1363	236763	164380
1364	236905	164185
1365	237023	163972
1366	237149	163766
1367	237267	163555
1368	237424	163370
1369	237559	163170
1370	237708	162980
1371	237848	162784
1372	237993	162591
1373	238142	162401
1374	238282	162205
1375	238397	161992
1376	238541	161799
1377	238644	161578
1378	238767	161371
1379	238876	161155
1380	238993	160944
1381	239140	160753
1382	239307	160576
1383	239499	160415
1384	239689	160254
1385	239878	160092
1386	240046	159915
1387	240246	159760
1388	240442	159602
1389	240622	159433
1390	240800	159263
1391	240949	159074
1392	241059	158860
1393	241219	158678
1394	241342	158472
1395	241506	158293
1396	241655	158105
1397	241778	157899
1398	241916	157704
1399	242090	157531
1400	242226	157334
1401	242348	157128
1402	242503	156944
1403	242649	156754
1404	242811	156574
1405	242983	156401
1406	243134	156214
1407	243362	156076
1408	243547	155911
1409	243675	155710
1410	243819	155519
1411	243953	155321
1412	244093	155128
1413	244238	154937
1414	244369	154738
1415	244516	154549
1416	244659	154358
1417	244767	154144
1418	244881	153935
1419	245031	153748
1420	245153	153544
1421	245266	153334
1422	245407	153142
1423	245566	152961
1424	245697	152763
1425	245819	152559
1426	245950	152361
1427	246108	152180
1428	246475	152128
1429	246647	151955
1430	246794	151767
1431	246929	151572
1432	247112	151405
1433	247290	151236
1434	247468	151067
1435	247617	150880
1436	247754	150686
1437	247868	150479
1438	248030	150300
1439	248166	150106
1440	248304	149913
1441	248417	149705
1442	248519	149490
1443	248644	149290
1444	248754	149080
1445	248873	148876
1446	249006	148681
1447	249121	148475
1448	249264	148285
1449	249414	148100
1450	249567	147917
1451	249694	147718
1452	249833	147527
1453	249984	147343
1454	250134	147158
1455	250287	146975
1456	250404	146770
1457	250515	146563
1458	250665	146379
1459	250815	146194
1460	250944	145997
1461	251059	145793
1462	251201	145604
1463	251322	145403
1464	251440	145200
1465	251598	145021
1466	251755	144840
1467	251908	144658
1468	252059	144475
1469	252213	144293
1470	252380	144119
1471	252520	143929
1472	252647	143732
1473	252763	143529
1474	252923	143351
1475	253066	143164
1476	253199	142971
1477	253346	142785
1478	253519	142615
1479	253647	142419
1480	253795	142235
1481	253952	142055
1482	254104	141873
1483	254221	141672
1484	254343	141473
1485	254500	141294
1486	254633	141101
1487	254764	140908
1488	254901	140717
1489	255057	140538
1490	255197	140350
1491	255332	140159
1492	255484	139977
1493	255606	139779
1494	255728	139581
1495	255875	139397
1496	256023	139213
1497	256140	139013
1498	256250	138809
1499	256374	138613
1500	256519	138428
1501	256620	138219
1502	256745	138024
1503	256867	137827
1504	256998	137635
1505	257169	137464
1506	257306	137275
1507	257449	137090
1508	257628	136923
1509	257768	136736
1510	257931	136561
1511	258154	136419
1512	258360	136266
1513	258510	136084
1514	258632	135888
1515	258800	135716
1516	258973	135547
1517	259076	135341
1518	259219	135155
1519	259391	134985
1520	259601	134835
1521	259821	134690
1522	260045	134547
1523	260216	134376
1524	260455	134241
1525	260674	134095
1526	260869	133936
1527	261108	133800
1528	261360	133671
1529	261574	133522
1530	261908	133434
1531	262181	133315
1532	262455	133196
1533	262628	133026
1534	262840	132875
1535	263076	132737
1536	263292	132588
1537	263518	132444
1538	263723	132289
1539	263925	132133
1540	264088	131958
1541	264228	131771
1542	264339	131570
1543	264495	131391
1544	264615	131194
1545	264741	131000
1546	264871	130808
1547	265006	130620
1548	265141	130430
1549	265267	130237
1550	265398	130047
1551	265526	129854
1552	265761	129714
1553	265984	129568
1554	266214	129426
1555	266460	129291
1556	266694	129150
1557	266923	129007
1558	267186	128880
1559	267386	128722
1560	267615	128578
1561	267840	128433
1562	268038	128274
1563	268255	128124
1564	268464	127970
1565	268685	127822
1566	268876	127660
1567	269103	127515
1568	269322	127365
1569	269531	127211
1570	269765	127069
1571	269960	126908
1572	270298	126815
1573	270529	126670
1574	270680	126489
1575	270821	126303
1576	270944	126108
1577	271093	125925
1578	271251	125747
1579	271387	125559
1580	271514	125367
1581	271651	125179
1582	271809	125001
1583	271920	124801
1584	272046	124609
1585	272146	124405
1586	272295	124222
1587	272464	124050
1588	272627	123874
1589	272907	123752
1590	273054	123569
1591	273207	123389
1592	273344	123202
1593	273458	123004
1594	273583	122812
1595	273737	122632
1596	273858	122438
1597	273993	122251
1598	274132	122065
1599	274246	121868
1600	274388	121683
1601	274533	121500
1602	274687	121321
1603	274838	121141
1604	274981	120957
1605	275085	120756
1606	275210	120565
1607	275362	120385
1608	275528	120212
1609	275650	120019
1610	275801	119839
1611	275975	119669
1612	276116	119484
1613	276272	119307
1614	276478	119151
1615	276653	118981
1616	276823	118809
1617	276992	118637
1618	277184	118475
1619	277387	118317
1620	277584	118157
1621	277752	117984
1622	277987	117840
1623	278118	117652
1624	278268	117472
1625	278404	117285
1626	278544	117101
1627	278700	116924
1628	278831	116735
1629	278993	116561
1630	279116	116369
1631	279265	116189
1632	279398	116002
1633	279524	115812
